"URL","Latency 1 (ms)","Latency 2 (ms)","Latency 3 (ms)","Avg Latency (ms)","Min (ms)","Max (ms)","Size (KB)","Cache Status 1","Cache Status 2","Cache Status 3","Age 1 (s)","Age 2 (s)","Age 3 (s)","Status","Error"
"https://image.dngroup.com/global/nhst/binary/6de37aa3528c259fbf421ef9a0a4ca96?crop=1600%2C1143%2Cx0%2Cy0%2Csafe&width=650&format=auto&quality=80","623.15","67.38","64.06","251.53","64.06","623.15","41.9","MISS, HIT, MISS","MISS, HIT, HIT","MISS, HIT, HIT","4870","4870","4870","200",""
"https://image.dngroup.com/global/nhst/binary/a69cd954f10c2e5fd80448bf09fae5e1?crop=1600%2C899%2Cx0%2Cy0%2Csafe&width=350&format=auto&quality=80","317.77","57.03","55.04","143.28","55.04","317.77","7.42","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","1192","1192","1192","200",""
"https://image.dngroup.com/global/nhst/binary/07d6154be754b1d7024666ee99753570?crop=952%2C535%2Cx0%2Cy150%2Csafe&width=350&format=auto&quality=80","264.74","62.72","61.34","129.6","61.34","264.74","18.6","MISS, HIT, MISS","MISS, HIT, HIT","MISS, HIT, HIT","4871","4871","4871","200",""
"https://image.dngroup.com/global/nhst/binary/2878279b3fa1e70e25118c6806f41e5b?crop=1600%2C899%2Cx0%2Cy168%2Csafe&width=350&format=auto&quality=80","240.02","57","55.21","117.41","55.21","240.02","9.24","MISS, HIT, MISS","MISS, HIT, HIT","MISS, HIT, HIT","4871","4871","4871","200",""
"https://image.dngroup.com/global/nhst/binary/dcdddcc68e58adcefc8461445c7ca6bc?crop=1600%2C899%2Cx0%2Cy0%2Csafe&width=350&format=auto&quality=80","305.93","57.15","56.25","139.78","56.25","305.93","10.51","MISS, HIT, MISS","MISS, HIT, HIT","MISS, HIT, HIT","4872","4872","4872","200",""
"https://image.dngroup.com/global/nhst/binary/d9af3b79624fddee37489245ff8bc5f1?crop=1600%2C899%2Cx0%2Cy0%2Csafe&width=350&format=auto&quality=80","251.78","60.8","64.36","125.65","60.8","251.78","11.74","MISS, HIT, MISS","MISS, HIT, HIT","MISS, HIT, HIT","4873","4873","4873","200",""
"https://image.dngroup.com/global/nhst/binary/bdf1090bc7d645d8e276214abbe80990?crop=1600%2C899%2Cx0%2Cy67%2Csafe&width=350&format=auto&quality=80","246.45","57.57","55.13","119.72","55.13","246.45","9.78","MISS, HIT, MISS","MISS, HIT, HIT","MISS, HIT, HIT","6031","6031","6031","200",""
"https://image.dngroup.com/global/nhst/binary/8e795e80f54d50a075fe6751ad92e56b?crop=1600%2C899%2Cx0%2Cy0%2Csafe&width=350&format=auto&quality=80","245.94","56.99","55.49","119.47","55.49","245.94","9.92","MISS, HIT, MISS","MISS, HIT, HIT","MISS, HIT, HIT","4875","4875","4875","200",""
"https://image.dngroup.com/global/nhst/binary/5977d64ac3d26bcbd382cc214443c66b?crop=1350%2C1227%2Cx0%2Cy109%2Csafe&width=650&format=auto&quality=80","267.12","63.28","62.22","130.87","62.22","267.12","35.11","MISS, HIT, MISS","MISS, HIT, HIT","MISS, HIT, HIT","4871","4871","4871","200",""
"https://image.dngroup.com/global/nhst/binary/21787d6f39b2d992f774ab2083f66f5f?crop=1511%2C1007%2Cx45%2Cy0%2Csafe&width=350&format=auto&quality=80","245.33","56.01","55.36","118.9","55.36","245.33","10.05","MISS, HIT, MISS","MISS, HIT, HIT","MISS, HIT, HIT","4871","4871","4871","200",""
"https://image.dngroup.com/global/nhst/binary/7c2abc5f2d92995f635064e6d142045c?crop=1600%2C899%2Cx0%2Cy90%2Csafe&width=350&format=auto&quality=80","240.73","56.19","56.7","117.87","56.19","240.73","11.34","MISS, HIT, MISS","MISS, HIT, HIT","MISS, HIT, HIT","4872","4872","4872","200",""
"https://image.dngroup.com/global/nhst/binary/39307de1d5fcf675cb813e440d28eb02?crop=1600%2C899%2Cx0%2Cy84%2Csafe&width=350&format=auto&quality=80","278.84","75.38","69.26","141.16","69.26","278.84","17.26","MISS, HIT, MISS","MISS, HIT, HIT","MISS, HIT, HIT","4872","4872","4872","200",""
"https://image.dngroup.com/global/nhst/binary/457c406775c29a5a4aac89a1c03dadcc?crop=800%2C449%2Cx0%2Cy34%2Csafe&width=350&format=auto&quality=80","244.85","86.68","75.76","135.76","75.76","244.85","12.96","MISS, HIT, MISS","MISS, HIT, HIT","MISS, HIT, HIT","4873","4873","4873","200",""
