"URL","Latency 1 (ms)","Latency 2 (ms)","Latency 3 (ms)","Avg Latency (ms)","Min (ms)","Max (ms)","Size (KB)","Cache Status 1","Cache Status 2","Cache Status 3","Age 1 (s)","Age 2 (s)","Age 3 (s)","Status","Error"
"https://media-stage.dngroup.com/image/eyJ3Ijo2NTAsImYiOiJ3ZWJwIiwiayI6ImJkZjEwOTBiYzdkNjQ1ZDhlMjc2MjE0YWJiZTgwOTkwIiwiZnAiOlswLjY1Mzc1LDAuNDg0NTA3XSwiciI6MS40OSwibyI6Imdsb2JhbCJ9","961.61","280.36","321.74","521.24","280.36","961.61","19.21","MISS, MISS, HIT","MISS, MISS, HIT","MISS, MISS, HIT","673","673","674","200",""
"https://media-stage.dngroup.com/image/eyJ3IjozNTAsImYiOiJ3ZWJwIiwiayI6ImQ5YWYzYjc5NjI0ZmRkZWUzNzQ4OTI0NWZmOGJjNWYxIiwiY3JvcCI6WzAsMCwxNjAwLDg5OV0sInIiOjEuNzgsIm8iOiJnbG9iYWwifQ","242.61","247.26","245.49","245.12","242.61","247.26","7.61","MISS, MISS, HIT","MISS, MISS, HIT","MISS, MISS, HIT","10113","10113","10114","200",""
"https://media-stage.dngroup.com/image/eyJ3IjozNTAsImYiOiJ3ZWJwIiwiayI6ImRjZGRkY2M2OGU1OGFkY2VmYzg0NjE0NDVjN2NhNmJjIiwiY3JvcCI6WzAsMCwxNjAwLDg5OV0sInIiOjEuNzgsIm8iOiJnbG9iYWwifQ","244.79","247.11","250.07","247.32","244.79","250.07","6.71","MISS, MISS, HIT","MISS, MISS, HIT","MISS, MISS, HIT","675","675","676","200",""
"https://media-stage.dngroup.com/image/eyJ3IjozNTAsImYiOiJ3ZWJwIiwiayI6IjhlNzk1ZTgwZjU0ZDUwYTA3NWZlNjc1MWFkOTJlNTZiIiwiY3JvcCI6WzAsMCwxNjAwLDg5OV0sInIiOjEuNzgsIm8iOiJnbG9iYWwifQ","254.83","253.55","255.68","254.69","253.55","255.68","6.32","MISS, MISS, HIT","MISS, MISS, HIT","MISS, MISS, HIT","10115","10115","10116","200",""
"https://media-stage.dngroup.com/image/eyJ3IjozNTAsImYiOiJ3ZWJwIiwiayI6IjdjMmFiYzVmMmQ5Mjk5NWY2MzUwNjRlNmQxNDIwNDVjIiwiY3JvcCI6WzAsOTAsMTYwMCw4OTldLCJyIjoxLjc4LCJvIjoiZ2xvYmFsIn0","262.05","260.6","269.69","264.11","260.6","269.69","7.48","MISS, MISS, HIT","MISS, MISS, HIT","MISS, MISS, HIT","10116","10116","10117","200",""
"https://media-stage.dngroup.com/image/eyJ3IjozNTAsImYiOiJ3ZWJwIiwiayI6IjM5MzA3ZGUxZDVmY2Y2NzVjYjgxM2U0NDBkMjhlYjAyIiwiY3JvcCI6WzAsODQsMTYwMCw4OTldLCJyIjoxLjc4LCJvIjoiZ2xvYmFsIn0","302.8","283.26","276.08","287.38","276.08","302.8","15.77","MISS, MISS, HIT","MISS, MISS, HIT","MISS, MISS, HIT","10119","10119","10120","200",""
"https://media-stage.dngroup.com/image/eyJ3IjozNTAsImYiOiJ3ZWJwIiwiayI6IjQ1N2M0MDY3NzVjMjlhNWE0YWFjODlhMWMwM2RhZGNjIiwiY3JvcCI6WzAsMzQsODAwLDQ0OV0sInIiOjEuNzgsIm8iOiJnbG9iYWwifQ","258.49","258.45","241.81","252.92","241.81","258.49","9.09","MISS, MISS, HIT","MISS, MISS, HIT","MISS, MISS, HIT","10120","10120","10121","200",""
"https://media-stage.dngroup.com/image/eyJ3IjozNTAsImYiOiJ3ZWJwIiwiayI6IjNiZDk0ZWM0MDk4NWY2MmYzNjg2ZTEzYzBlOTMyOTRhIiwiY3JvcCI6WzAsMCwxNjAwLDg5OV0sInIiOjEuNzgsIm8iOiJnbG9iYWwifQ","234.82","244.64","253.9","244.45","234.82","253.9","7.34","MISS, MISS, HIT","MISS, MISS, HIT","MISS, MISS, HIT","10121","10121","10122","200",""
"https://media-stage.dngroup.com/image/eyJ3Ijo2NTAsImYiOiJ3ZWJwIiwiayI6IjU5NzdkNjRhYzNkMjZiY2JkMzgyY2MyMTQ0NDNjNjZiIiwiZnAiOlswLjU0MTQ4MSwwLjM1NzAzN10sInIiOjEuMDYsIm8iOiJnbG9iYWwifQ","284.95","318.85","426.45","343.42","284.95","426.45","19.03","MISS, MISS, HIT","MISS, MISS, HIT","MISS, MISS, HIT","10121","10121","10122","200",""
"https://media-stage.dngroup.com/image/eyJ3IjozNTAsImYiOiJ3ZWJwIiwiayI6IjIxNzg3ZDZmMzliMmQ5OTJmNzc0YWIyMDgzZjY2ZjVmIiwiZnAiOlswLjUsMC40OTk1MDNdLCJyIjoxLjQ2LCJvIjoiZ2xvYmFsIn0","264.96","293.56","265.25","274.59","264.96","293.56","5.89","MISS, MISS, HIT","MISS, MISS, HIT","MISS, MISS, HIT","105","105","106","200",""
