"URL","Latency 1 (ms)","Latency 2 (ms)","Latency 3 (ms)","Avg Latency (ms)","Min (ms)","Max (ms)","Size (KB)","Cache Status 1","Cache Status 2","Cache Status 3","Age 1 (s)","Age 2 (s)","Age 3 (s)","Status","Error"
"https://image-stage.dngroup.com/global/nhst/binary/bdf1090bc7d645d8e276214abbe80990?crop=1600%2C1065%2Cx0%2Cy0%2Csafe&width=650&format=auto&quality=80","1044.73","254.91","255.25","518.3","254.91","1044.73","29.39","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","3060","3060","3060","200",""
"https://image-stage.dngroup.com/global/nhst/binary/d9af3b79624fddee37489245ff8bc5f1?crop=1600%2C899%2Cx0%2Cy0%2Csafe&width=350&format=auto&quality=80","227.84","223.73","223.55","225.04","223.55","227.84","11.74","MISS, HIT, HIT","MISS, HIT, HIT","MISS, HIT, HIT","3061","3061","3061","200",""
"https://image-stage.dngroup.com/global/nhst/binary/dcdddcc68e58adcefc8461445c7ca6bc?crop=1600%2C899%2Cx0%2Cy0%2Csafe&width=350&format=auto&quality=80","550.65","310.06","306.74","389.15","306.74","550.65","10.51","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","3062","3062","3062","200",""
"https://image-stage.dngroup.com/global/nhst/binary/8e795e80f54d50a075fe6751ad92e56b?crop=1600%2C899%2Cx0%2Cy0%2Csafe&width=350&format=auto&quality=80","319.36","294.74","221.1","278.4","221.1","319.36","9.92","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","3063","3063","3063","200",""
"https://image-stage.dngroup.com/global/nhst/binary/7c2abc5f2d92995f635064e6d142045c?crop=1600%2C899%2Cx0%2Cy90%2Csafe&width=350&format=auto&quality=80","323.38","224.55","226.19","258.04","224.55","323.38","11.34","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","3065","3065","3065","200",""
"https://image-stage.dngroup.com/global/nhst/binary/39307de1d5fcf675cb813e440d28eb02?crop=1600%2C899%2Cx0%2Cy84%2Csafe&width=350&format=auto&quality=80","432.33","233.18","240.26","301.92","233.18","432.33","17.26","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","3065","3065","3065","200",""
"https://image-stage.dngroup.com/global/nhst/binary/457c406775c29a5a4aac89a1c03dadcc?crop=800%2C449%2Cx0%2Cy34%2Csafe&width=350&format=auto&quality=80","298.16","227.84","225.24","250.41","225.24","298.16","12.96","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","3066","3066","3067","200",""
"https://image-stage.dngroup.com/global/nhst/binary/3bd94ec40985f62f3686e13c0e93294a?crop=1600%2C899%2Cx0%2Cy0%2Csafe&width=350&format=auto&quality=80","367.21","223.52","225.27","272","223.52","367.21","11.59","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","3067","3067","3067","200",""
"https://image-stage.dngroup.com/global/nhst/binary/5977d64ac3d26bcbd382cc214443c66b?crop=1350%2C1227%2Cx0%2Cy109%2Csafe&width=650&format=auto&quality=80","471.19","256.08","258.22","328.5","256.08","471.19","35.11","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","3069","3069","3069","200",""
"https://image-stage.dngroup.com/global/nhst/binary/21787d6f39b2d992f774ab2083f66f5f?crop=1511%2C1007%2Cx45%2Cy0%2Csafe&width=350&format=auto&quality=80","320.01","227.29","220.29","255.86","220.29","320.01","10.05","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","3070","3070","3070","200",""
"https://image-stage.dngroup.com/global/nhst/binary/86f2c106f06d03badfa919750cd0678e?crop=1086%2C610%2Cx0%2Cy239%2Csafe&width=350&format=auto&quality=80","347.89","225.51","218.38","263.93","218.38","347.89","8.03","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","3071","3071","3071","200",""
"https://image-stage.dngroup.com/global/nhst/binary/6965b24055cfc72052a7b36cd49efc3d?crop=1600%2C899%2Cx0%2Cy0%2Csafe&width=350&format=auto&quality=80","325.24","226.2","221.85","257.76","221.85","325.24","11.1","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","3072","3072","3072","200",""
"https://image-stage.dngroup.com/global/nhst/binary/0dacbf8fdd6994ae4cec4dc474e96a1e?crop=1600%2C899%2Cx0%2Cy0%2Csafe&width=350&format=auto&quality=80","435.26","228.42","228.79","297.49","228.42","435.26","13.76","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","3073","3073","3073","200",""
"https://image-stage.dngroup.com/global/nhst/binary/6ee501761feffe7a7905b803ccd88584?crop=1600%2C899%2Cx0%2Cy83%2Csafe&width=650&format=auto&quality=80","350.52","251.07","245.71","282.43","245.71","350.52","23.92","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","3074","3074","3074","200",""
"https://image-stage.dngroup.com/global/nhst/binary/8fc51979116bc2bccecfe281f4f8cfe5?crop=1500%2C843%2Cx0%2Cy35%2Csafe&width=650&format=auto&quality=80","326.46","231.08","234.47","264","231.08","326.46","17.4","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","3075","3075","3075","200",""
"https://image-stage.dngroup.com/global/nhst/binary/5e2bc06f2822e461234f6c75c153317c?crop=1600%2C900%2Cx0%2Cy43%2Csafe&width=350&format=auto&quality=80","384.15","225.61","221.28","277.01","221.28","384.15","11.16","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","3072","3072","3072","200",""
"https://image-stage.dngroup.com/global/nhst/binary/180e1d3a714121398a13a07a18ca5872?crop=1406%2C791%2Cx0%2Cy0%2Csafe&width=350&format=auto&quality=80","390.18","226.24","231.65","282.69","226.24","390.18","11.54","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","3067","3067","3067","200",""
"https://image-stage.dngroup.com/global/nhst/binary/3f5da523bbea1ec97157b1c226388773?crop=1360%2C765%2Cx0%2Cy0%2Csafe&width=350&format=auto&quality=80","397.84","222.72","221.45","280.67","221.45","397.84","10.63","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","3069","3069","3069","200",""
"https://image-stage.dngroup.com/global/nhst/binary/838b7bac51b297f5d970da76e75e6833?crop=2400%2C1350%2Cx0%2Cy0%2Csafe&width=350&format=auto&quality=80","465.14","219.9","219.66","301.57","219.66","465.14","10.43","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","3070","3070","3070","200",""
"https://image-stage.dngroup.com/global/nhst/binary/bc25d6a622fc95ffbccd039993017503?crop=1541%2C963%2Cx30%2Cy0%2Csafe&width=650&format=auto&quality=80","534.81","255.91","312.04","367.59","255.91","534.81","56.9","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","2056","2056","2056","200",""
"https://image-stage.dngroup.com/global/nhst/binary/25848357a35a47e96211dae56ce77173?crop=1600%2C900%2Cx0%2Cy0%2Csafe&width=350&format=auto&quality=80","624.47","223.24","221.96","356.56","221.96","624.47","15.37","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","2058","2058","2058","200",""
"https://image-stage.dngroup.com/global/nhst/binary/eba609a9773d863825860d1278469e3a?crop=1201%2C676%2Cx0%2Cy25%2Csafe&width=350&format=auto&quality=80","225.36","226.32","220.59","224.09","220.59","226.32","13.84","MISS, MISS, HIT","MISS, MISS, HIT","MISS, MISS, HIT","2058","2059","2059","200",""
"https://image-stage.dngroup.com/global/nhst/binary/a42bf3772a6a7f9fef5644ad006bee9e?crop=1460%2C821%2Cx46%2Cy0%2Csafe&width=350&format=auto&quality=80","215.36","214.3","213.01","214.22","213.01","215.36","10.5","MISS, MISS, HIT","MISS, MISS, HIT","MISS, MISS, HIT","2059","2060","2060","200",""
"https://image-stage.dngroup.com/global/nhst/binary/94eac982eb5f6dac57b584dd0d72cd49?crop=1600%2C900%2Cx0%2Cy166%2Csafe&width=350&format=auto&quality=80","333.27","214.07","213.93","253.76","213.93","333.27","7.77","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","3082","3082","3082","200",""
"https://image-stage.dngroup.com/global/nhst/binary/92455d109dd61bd1d70e60dc2f4d47c0?crop=1600%2C900%2Cx0%2Cy0%2Csafe&width=300&format=auto&quality=80","343.17","214.5","214.13","257.27","214.13","343.17","9.34","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","2994","2994","2994","200",""
"https://image-stage.dngroup.com/global/nhst/binary/c2cf3e7409c40c71dc75c1eae482f060?crop=2400%2C1350%2Cx0%2Cy0%2Csafe&width=300&format=auto&quality=80","365.16","214.31","210.01","263.16","210.01","365.16","6.28","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","2995","2995","2995","200",""
"https://image-stage.dngroup.com/global/nhst/binary/1617a234f908638137c8faf27e140820?crop=2400%2C1350%2Cx0%2Cy0%2Csafe&width=300&format=auto&quality=80","359.9","210.17","208.81","259.63","208.81","359.9","5.1","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","2996","2996","2996","200",""
"https://image-stage.dngroup.com/global/nhst/binary/3ac0af8b1d69b6a6e59156119a2dcaeb?crop=2307%2C1298%2Cx1%2Cy101%2Csafe&width=300&format=auto&quality=80","566.06","215.87","215.4","332.44","215.4","566.06","11.55","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","2997","2997","2997","200",""
"https://image-stage.dngroup.com/global/nhst/binary/1bf6c3483c695d97cf3c9ba73fef4b5e?crop=1600%2C900%2Cx0%2Cy27%2Csafe&width=450&format=auto&quality=80","399.86","217.42","217.01","278.1","217.01","399.86","12.89","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","2065","2065","2065","200",""
"https://image-stage.dngroup.com/global/nhst/binary/0aec000de7b09186fcc55001749229fa?crop=1600%2C900%2Cx0%2Cy0%2Csafe&width=450&format=auto&quality=80","217.24","216.79","215.35","216.46","215.35","217.24","11.12","MISS, MISS, HIT","MISS, MISS, HIT","MISS, MISS, HIT","2067","2067","2067","200",""
"https://image-stage.dngroup.com/global/nhst/binary/702dda0e9f65e4b25f6754db95d25bc4?crop=1600%2C900%2Cx0%2Cy0%2Csafe&width=450&format=auto&quality=80","365.51","219.91","217.06","267.49","217.06","365.51","15.25","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","2066","2066","2066","200",""
"https://image-stage.dngroup.com/global/nhst/binary/aebb8ea3e657f59ec329b12946cd30af?crop=1600%2C1000%2Cx0%2Cy0%2Csafe&width=650&format=auto&quality=80","355.56","226.03","225.27","268.95","225.27","355.56","24.9","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","2068","2068","2068","200",""
"https://image-stage.dngroup.com/global/nhst/binary/2ce24b8b5908755ca41ee5ac132b6a7d?crop=1600%2C900%2Cx0%2Cy31%2Csafe&width=350&format=auto&quality=80","330.98","223.64","222.97","259.2","222.97","330.98","18.34","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","2068","2068","2068","200",""
"https://image-stage.dngroup.com/global/nhst/binary/fc0fee23fc52647bc705e3c6cfd8cd81?crop=800%2C450%2Cx0%2Cy71%2Csafe&width=350&format=auto&quality=80","214.99","213.3","217.39","215.23","213.3","217.39","8.73","MISS, MISS, HIT","MISS, MISS, HIT","MISS, MISS, HIT","2071","2071","2071","200",""
"https://image-stage.dngroup.com/global/nhst/binary/b029550a090f00e6b0f937c81825ebed?crop=2240%2C1260%2Cx80%2Cy0%2Csafe&width=350&format=auto&quality=80","816.05","220.62","218.14","418.27","218.14","816.05","15.16","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","2072","2072","2072","200",""
"https://image-stage.dngroup.com/global/nhst/binary/e2637c0f7cb4ec29b788cd213eccba84?crop=1600%2C900%2Cx0%2Cy0%2Csafe&width=350&format=auto&quality=80","407.1","215.14","213.99","278.74","213.99","407.1","9.44","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","3095","3095","3096","200",""
"https://image-stage.dngroup.com/global/nhst/binary/4bbac651088e6ebf5526426791094e28?crop=1600%2C900%2Cx0%2Cy0%2Csafe&width=300&format=auto&quality=80","445.55","215.88","217.81","293.08","215.88","445.55","10.62","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","2074","2074","2074","200",""
"https://image-stage.dngroup.com/global/nhst/binary/e33e51c5407286f2a7b13cb7d934fe45?crop=1200%2C675%2Cx0%2Cy0%2Csafe&width=300&format=auto&quality=80","214.38","215.02","214.34","214.58","214.34","215.02","10.17","MISS, MISS, HIT","MISS, MISS, HIT","MISS, MISS, HIT","2073","2073","2073","200",""
"https://image-stage.dngroup.com/global/nhst/binary/9a67452ba6f772432487d298ef2fedac?crop=1300%2C731%2Cx0%2Cy21%2Csafe&width=300&format=auto&quality=80","219.14","216.69","214.92","216.92","214.92","219.14","11.07","MISS, MISS, HIT","MISS, MISS, HIT","MISS, MISS, HIT","3099","3099","3099","200",""
"https://image-stage.dngroup.com/global/nhst/binary/0bb54c54e42e41f3f95291fe61f21eb0?crop=1200%2C675%2Cx0%2Cy23%2Csafe&width=300&format=auto&quality=80","336.35","213.2","235.39","261.65","213.2","336.35","9.04","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","519","519","520","200",""
"https://image-stage.dngroup.com/global/nhst/binary/1198932c54c25b7dedd13e092f925234?crop=1280%2C720%2Cx0%2Cy0%2Csafe&width=450&format=auto&quality=80","293.76","240.88","301.84","278.83","240.88","301.84","20.71","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","2080","2080","2080","200",""
"https://image-stage.dngroup.com/global/nhst/binary/1097e2477cf1483047c9cee181dd4956?crop=1600%2C900%2Cx0%2Cy0%2Csafe&width=450&format=auto&quality=80","417.03","226.71","224.06","289.27","224.06","417.03","21.13","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","2078","2078","2078","200",""
"https://image-stage.dngroup.com/global/nhst/binary/2c0f909b7310e34ad2ec1c0580d5758b?crop=1600%2C900%2Cx0%2Cy0%2Csafe&width=450&format=auto&quality=80","333.58","219.64","217.41","256.88","217.41","333.58","12.4","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","2080","2080","2080","200",""
"https://image-stage.dngroup.com/global/nhst/binary/be5ec46265da09e66e8364791f9381a5?crop=1600%2C900%2Cx0%2Cy0%2Csafe&width=650&format=auto&quality=80","379.55","241.44","236.8","285.93","236.8","379.55","36.65","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","2081","2081","2081","200",""
"https://image-stage.dngroup.com/global/nhst/binary/04642ed458ad2ae9b89713948daf3ec8?crop=1600%2C900%2Cx0%2Cy152%2Csafe&width=650&format=auto&quality=80","464.46","241.31","239.28","315.02","239.28","464.46","36.6","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","2083","2083","2083","200",""
"https://image-stage.dngroup.com/global/nhst/binary/5969cd0bbf070426595bc31525fee407?crop=2400%2C1350%2Cx0%2Cy125%2Csafe&width=650&format=auto&quality=80","392.48","240.26","238.82","290.52","238.82","392.48","39.01","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","2083","2083","2083","200",""
"https://image-stage.dngroup.com/global/nhst/binary/1202f28e3ecc8030b3879f26fd7fd32d?crop=1600%2C1066%2Cx0%2Cy0%2Csafe&width=650&format=auto&quality=80","338.78","230.62","232.11","267.17","230.62","338.78","28.32","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","2084","2084","2084","200",""
"https://image-stage.dngroup.com/global/nhst/binary/2254ce709b40a2983ecb680ecc62ee19?crop=1421%2C799%2Cx1%2Cy73%2Csafe&width=350&format=auto&quality=80","215.27","214.41","212.8","214.16","212.8","215.27","9.05","MISS, MISS, HIT","MISS, MISS, HIT","MISS, MISS, HIT","2086","2086","2086","200",""
"https://image-stage.dngroup.com/global/nhst/binary/cbd4d3a0131e06c50cb5a411d5f96211?crop=2400%2C1350%2Cx0%2Cy0%2Csafe&width=350&format=auto&quality=80","237.92","232.28","231.22","233.81","231.22","237.92","29.03","MISS, MISS, HIT","MISS, MISS, HIT","MISS, MISS, HIT","2087","2087","2087","200",""
"https://image-stage.dngroup.com/global/nhst/binary/9c6a746097f81ae4a67b276f49cf2ba5?crop=1600%2C900%2Cx0%2Cy39%2Csafe&width=350&format=auto&quality=80","324.2","217.71","216.79","252.9","216.79","324.2","11.17","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","2089","2089","2089","200",""
"https://image-stage.dngroup.com/global/nhst/binary/c694353a788103c32baa31782a2f4eaf?crop=2400%2C1350%2Cx0%2Cy0%2Csafe&width=350&format=auto&quality=80","308.84","226.36","222.61","252.6","222.61","308.84","18.6","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","2088","2088","2088","200",""
