"URL","Latency 1 (ms)","Latency 2 (ms)","Latency 3 (ms)","Avg Latency (ms)","Min (ms)","Max (ms)","Size (KB)","Cache Status 1","Cache Status 2","Cache Status 3","Age 1 (s)","Age 2 (s)","Age 3 (s)","Status","Error"
"https://media.dngroup.com/image/eyJ3IjozNTAsImYiOiJ3ZWJwIiwiayI6IjEzZDkxYTZkMWEyYTdiNmU1MWM3MWQ0MjQ2YzFhYjlmIiwiZnAiOlswLjIyNzUsMC4zNDU4MjldLCJyIjoxLjQxLCJvIjoiZG4ifQ","56.05","7.14","9.79","24.33","7.14","56.05","5.72","MISS, MISS, HIT","MISS, MISS, HIT","MISS, MISS, HIT","2618","2618","2618","200",""
"https://media.dngroup.com/image/eyJ3Ijo2NTAsImYiOiJ3ZWJwIiwiayI6ImFmMDM5NjBjOGZhNTEyYzVjM2E2NDlkM2IwOGI0NzYzIiwiY3JvcCI6WzAsMCwxMjkwLDg2MF0sInIiOjEuNSwibyI6ImRuIn0","8.18","9.45","8.54","8.72","8.18","9.45","27.4","MISS, MISS, HIT","MISS, MISS, HIT","MISS, MISS, HIT","4078","4078","4079","200",""
"https://media.dngroup.com/image/eyJ3IjozNTAsImYiOiJ3ZWJwIiwiayI6IjkyYjkyNGUzMjU4NzcwNzE2ZmIzNmYyZTZhNTk2YjRkIiwiY3JvcCI6WzAsMCwxNjAwLDg5OV0sInIiOjEuNzgsIm8iOiJkbiJ9","9.41","9.62","9.03","9.35","9.03","9.62","13.37","MISS, HIT, HIT","MISS, HIT, HIT","MISS, HIT, HIT","3943","3943","3943","200",""
"https://media.dngroup.com/image/eyJ3IjozNTAsImYiOiJ3ZWJwIiwiayI6ImNhZDllZmFiOWVhMzVjYjA0OGU2YmQ1YzBiMDE1NTFmIiwiY3JvcCI6WzAsMCwxNjAwLDg5OV0sInIiOjEuNzgsIm8iOiJkbiJ9","9.62","6.43","7.96","8","6.43","9.62","10.43","MISS, MISS, HIT","MISS, MISS, HIT","MISS, MISS, HIT","6362","6362","6362","200",""
"https://media.dngroup.com/image/eyJ3IjozNTAsImYiOiJ3ZWJwIiwiayI6IjgyNWFlYjEzNzM2YTliNDZjYjUyMGFjZDRkNmZmNmNiIiwiZnAiOlswLjQ1ODEyNSwwLjE2NTg4Nl0sInIiOjEuMTQsIm8iOiJkbiJ9","13.13","8.79","8.45","10.12","8.45","13.13","27.27","MISS, MISS, HIT","MISS, MISS, HIT","MISS, MISS, HIT","4050","4051","4051","200",""
"https://media.dngroup.com/image/eyJ3IjozNTAsImYiOiJ3ZWJwIiwiayI6IjcyNjgyMTdiOTY2ZWYxNjBmMGMwNTNiNjZhNzI5ZjVkIiwiY3JvcCI6WzAsMCwxNjAxLDEwNjddLCJyIjoxLjUsIm8iOiJkbiJ9","6.72","8.01","7.07","7.27","6.72","8.01","9.48","MISS, MISS, HIT","MISS, MISS, HIT","MISS, MISS, HIT","12728","12728","12729","200",""
"https://media.dngroup.com/image/eyJ3Ijo2NTAsImYiOiJ3ZWJwIiwiayI6IjdkYWU4YjdlODMzNjgwMzkyMGJjMWQyMmMxMWQzMGUyIiwiY3JvcCI6WzAsMCwxNTk4LDEwNjVdLCJyIjoxLjUsIm8iOiJkbiJ9","26.45","12.75","9.31","16.17","9.31","26.45","39.66","MISS, MISS, HIT","MISS, MISS, HIT","MISS, MISS, HIT","13311","13312","13312","200",""
"https://media.dngroup.com/image/eyJ3Ijo2NTAsImYiOiJ3ZWJwIiwiayI6ImI5MjBjOTI5Yjg3NTQxNGE0Yzc0ODViMWU1ZmEyNjAwIiwiY3JvcCI6WzI1NSwyMzQsOTkzLDc4MF0sImZwIjpbMC41LDAuNV0sInIiOjEuNSwibyI6ImRuIn0","9.22","11.87","7.95","9.68","7.95","11.87","31.13","MISS, MISS, HIT","MISS, MISS, HIT","MISS, MISS, HIT","12555","12555","12555","200",""
"https://media.dngroup.com/image/eyJ3IjozNTAsImYiOiJ3ZWJwIiwiayI6Ijk4YTJhYjY3MjlmMmExNjgwMzc0OGY3MmQ3NjNkMzMxIiwiY3JvcCI6WzAsMCwxNjAxLDEwNjddLCJyIjoxLjUsIm8iOiJkbiJ9","10.83","33.28","7.32","17.14","7.32","33.28","13.14","MISS, MISS, HIT","MISS, MISS, HIT","MISS, MISS, HIT","10315","10316","10316","200",""
"https://media.dngroup.com/image/eyJ3Ijo1MDAsImYiOiJ3ZWJwIiwiayI6Ijc2N2Q1OWI2N2I1YzgwMTg1N2YyOTJhMDQ5MGExNTgxIiwiY3JvcCI6WzM3NSwxMTYsOTQzLDY5MV0sImZwIjpbMC41LDAuNV0sInIiOjEuNSwibyI6ImRuIn0","10.52","6.04","9.15","8.57","6.04","10.52","19.77","MISS, MISS, HIT","MISS, MISS, HIT","MISS, MISS, HIT","16810","16810","16810","200",""
"https://media.dngroup.com/image/eyJ3Ijo1MDAsImYiOiJ3ZWJwIiwiayI6IjBjNWU5Nzc4NDIyZGEyZmQ0MjNmNDhjOWE2MmM1YTQ0IiwiY3JvcCI6Wzg3LDg0LDE2MjUsMTEzMl0sImZwIjpbMC41LDAuNV0sInIiOjEuNSwibyI6ImRuIn0","9.63","8.56","8.83","9.01","8.56","9.63","12.63","MISS, MISS, HIT","MISS, MISS, HIT","MISS, MISS, HIT","12716","12716","12717","200",""
"https://media.dngroup.com/image/eyJ3Ijo2NTAsImYiOiJ3ZWJwIiwiayI6IjlmMDMzMWU0YTVhMGI4Y2EwYTllZTBhZjQ4ZjgyYWIxIiwiY3JvcCI6WzY1NSw0ODEsODU3LDYyOV0sImZwIjpbMC41LDAuNV0sInIiOjEuMzMsIm8iOiJkbiJ9","11.71","11.68","11.07","11.49","11.07","11.71","85.2","MISS, HIT, HIT","MISS, HIT, HIT","MISS, HIT, HIT","19457","19457","19457","200",""
"https://media.dngroup.com/image/eyJ3IjozNTAsImYiOiJ3ZWJwIiwiayI6IjY5NzllNTVlODI0OTMwMzY2ZTA5ZjRkMjIwNWQyNzA4IiwiY3JvcCI6WzIwOCwzMTUsMTA4OCw3NTJdLCJmcCI6WzAuNSwwLjVdLCJyIjoxLjc4LCJvIjoiZG4ifQ","6.92","7.96","7.98","7.62","6.92","7.98","9.42","MISS, HIT, HIT","MISS, HIT, HIT","MISS, HIT, HIT","83227","83227","83228","200",""
"https://media.dngroup.com/image/eyJ3IjozNTAsImYiOiJ3ZWJwIiwiayI6ImQ3ODUzN2I3ZWFhNDRhY2MxOWFmMzgyNzRiYjcxM2VlIiwiZnAiOlswLjQ0Njg3NSwwLjMzMzY0Nl0sInIiOjEuMjIsIm8iOiJkbiJ9","11.92","7.22","7.93","9.02","7.22","11.92","9.57","MISS, MISS, HIT","MISS, MISS, HIT","MISS, MISS, HIT","102028","102029","102029","200",""
