"URL","Latency 1 (ms)","Latency 2 (ms)","Latency 3 (ms)","Avg Latency (ms)","Min (ms)","Max (ms)","Size (KB)","Cache Status 1","Cache Status 2","Cache Status 3","Age 1 (s)","Age 2 (s)","Age 3 (s)","Status","Error"
"https://media.dngroup.com/image/eyJ3IjoxMDAwLCJmIjoid2VicCIsImsiOiJlYTRmYjY0YTVlMDRkODcxOGMxOTZiYjM4MzI0MTU1OSIsImNyb3AiOlsyMDEsMCwxMTk4LDY3M10sInIiOjEuNzgsIm8iOiJnbG9iYWwifQ","71.64","21.55","23.73","38.97","21.55","71.64","126.42","MISS, MISS, HIT","MISS, MISS, HIT","MISS, MISS, HIT","80569","80569","80570","200",""
"https://media.dngroup.com/image/eyJ3Ijo1MDAsImYiOiJ3ZWJwIiwiayI6IjI2ZWU0ZmUyZTc2ZDFiMDVlZTQ2ZmFkZjcyOTNhNzkzIiwiY3JvcCI6WzAsMCwxNjAwLDg5OV0sInIiOjEuNzgsIm8iOiJnbG9iYWwifQ","10.41","11.41","9.11","10.31","9.11","11.41","43.27","MISS, MISS, HIT","MISS, MISS, HIT","MISS, MISS, HIT","66037","66037","66037","200",""
"https://media.dngroup.com/image/eyJ3Ijo1MDAsImYiOiJ3ZWJwIiwiayI6Ijc5M2UyMDk1MmY3ZjJiMDkwNGMyYTgwMDZmNmJmYzFlIiwiY3JvcCI6WzAsMCwxNjAwLDg5OV0sInIiOjEuNzgsIm8iOiJnbG9iYWwifQ","8.01","7.62","8.15","7.93","7.62","8.15","8.56","MISS, MISS, HIT","MISS, MISS, HIT","MISS, MISS, HIT","278739","278739","278739","200",""
"https://media.dngroup.com/image/eyJ3IjozNTAsImYiOiJ3ZWJwIiwiayI6ImYyZTQ3YTg2ZjA5NWEzMzI0Mjc3OGNmN2VjMzVhYTJiIiwiY3JvcCI6WzAsMTAxLDE0NTUsODE3XSwiciI6MS43OCwibyI6Imdsb2JhbCJ9","7.27","7.19","8.36","7.61","7.19","8.36","16.51","MISS, HIT, HIT","MISS, HIT, HIT","MISS, HIT, HIT","21603","21603","21604","200",""
"https://media.dngroup.com/image/eyJ3IjozNTAsImYiOiJ3ZWJwIiwiayI6IjBjZjlkNmNjZTM2NzdmNGYzODJmOGVkNWFmNWUyYmE0IiwiY3JvcCI6WzAsODQsMTYwMCw4OTldLCJyIjoxLjc4LCJvIjoiZ2xvYmFsIn0","8.35","8.23","7.46","8.01","7.46","8.35","20.48","MISS, HIT, HIT","MISS, HIT, HIT","MISS, HIT, HIT","79565","79565","79565","200",""
"https://media.dngroup.com/image/eyJ3IjozNTAsImYiOiJ3ZWJwIiwiayI6ImExN2IyMzg4N2NmMDMxZTNmOTA1MDhhMjUyMjExYTI0IiwiY3JvcCI6WzEwMSwwLDEyMjUsNjg4XSwiciI6MS43OCwibyI6Imdsb2JhbCJ9","7.89","6.83","6.7","7.14","6.7","7.89","7.63","MISS, MISS, HIT","MISS, MISS, HIT","MISS, MISS, HIT","526","526","526","200",""
"https://media.dngroup.com/image/eyJ3IjozNTAsImYiOiJ3ZWJwIiwiayI6IjM0OGFjNTQ0ODIyMTc1YjM1NDQ4ODVjOTBmMTZiMzM3IiwiY3JvcCI6WzAsMCwxNTc1LDg4NV0sInIiOjEuNzgsIm8iOiJnbG9iYWwifQ","7.29","6.88","6.45","6.87","6.45","7.29","9.97","MISS, MISS, HIT","MISS, MISS, HIT","MISS, MISS, HIT","258120","258120","258121","200",""
"https://media.dngroup.com/image/eyJ3IjozNTAsImYiOiJ3ZWJwIiwiayI6IjMxZmViOTY3MTUwYjkyZGZjZTI3NzUwZTI5MTM5OWYzIiwiY3JvcCI6WzAsMCwxNjAwLDg5OV0sInIiOjEuNzgsIm8iOiJnbG9iYWwifQ","7.15","6.47","7.03","6.88","6.47","7.15","8.97","MISS, HIT, HIT","MISS, HIT, HIT","MISS, HIT, HIT","85838","85838","85838","200",""
"https://media.dngroup.com/image/eyJ3Ijo2NTAsImYiOiJ3ZWJwIiwiayI6ImVmZWI5ZGJmNGIwZGJlNTQ5Zjg1OWJkMzI5NTdjNWUwIiwiZnAiOlswLjM2Mzc1LDAuNTAzMjhdLCJyIjoxLjQ5LCJvIjoiZ2xvYmFsIn0","6.95","6.64","7.36","6.98","6.64","7.36","17.05","MISS, HIT, HIT","MISS, HIT, HIT","MISS, HIT, HIT","32289","32289","32289","200",""
"https://media.dngroup.com/image/eyJ3Ijo0NTAsImYiOiJ3ZWJwIiwiayI6Ijc1MzA1NGJkMGI3ODY2YmFmNDRjNjhiODVkOTM2ZmQxIiwiY3JvcCI6WzAsMTMyLDE2MDAsODk5XSwiciI6MS43OCwibyI6Imdsb2JhbCJ9","8.36","7.7","7.03","7.7","7.03","8.36","15.88","MISS, MISS, HIT","MISS, MISS, HIT","MISS, MISS, HIT","96123","96123","96123","200",""
