"URL","Latency 1 (ms)","Latency 2 (ms)","Latency 3 (ms)","Avg Latency (ms)","Min (ms)","Max (ms)","Size (KB)","Cache Status 1","Cache Status 2","Cache Status 3","Age 1 (s)","Age 2 (s)","Age 3 (s)","Status","Error"
"https://image.dngroup.com/global/nhst/binary/f5223451eeb0cd828d08f16561020404?crop=1600%2C1000%2Cx0%2Cy0%2Csafe&width=650&format=auto&quality=80","227.89","10.29","6.86","81.68","6.86","227.89","8.02","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","5112","5112","5112","200",""
"https://image.dngroup.com/global/nhst/binary/b87ab678e8f7fc83bab5412c95074798?crop=1600%2C899%2Cx0%2Cy84%2Csafe&width=350&format=auto&quality=80","154.15","37.75","9.28","67.06","9.28","154.15","10.01","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","1523","1523","1523","200",""
"https://image.dngroup.com/global/nhst/binary/a69cd954f10c2e5fd80448bf09fae5e1?crop=1600%2C899%2Cx0%2Cy0%2Csafe&width=350&format=auto&quality=80","18.13","10.09","8.72","12.31","8.72","18.13","3.71","MISS, HIT, MISS","MISS, HIT, HIT","MISS, HIT, HIT","21141","21141","21141","200",""
"https://image.dngroup.com/global/nhst/binary/4f3ef8edcf5617ce37f1f247cb3b78b7?crop=1481%2C832%2Cx119%2Cy0%2Csafe&width=350&format=auto&quality=80","18.69","8.73","8.59","12","8.59","18.69","6.36","MISS, HIT, MISS","MISS, HIT, HIT","MISS, HIT, HIT","16603","16603","16603","200",""
"https://image.dngroup.com/global/nhst/binary/6de37aa3528c259fbf421ef9a0a4ca96?crop=1600%2C899%2Cx0%2Cy0%2Csafe&width=350&format=auto&quality=80","19.6","8.38","8.02","12","8.02","19.6","9.33","MISS, HIT, MISS","MISS, HIT, HIT","MISS, HIT, HIT","24820","24820","24820","200",""
"https://image.dngroup.com/global/nhst/binary/dcdddcc68e58adcefc8461445c7ca6bc?crop=1600%2C899%2Cx0%2Cy0%2Csafe&width=350&format=auto&quality=80","17.57","9.14","7.35","11.35","7.35","17.57","6.39","MISS, HIT, MISS","MISS, HIT, HIT","MISS, HIT, HIT","24820","24820","24820","200",""
"https://image.dngroup.com/global/nhst/binary/07d6154be754b1d7024666ee99753570?crop=952%2C535%2Cx0%2Cy150%2Csafe&width=350&format=auto&quality=80","20.61","7.93","7.37","11.97","7.37","20.61","13.79","MISS, HIT, MISS","MISS, HIT, HIT","MISS, HIT, HIT","24820","24820","24820","200",""
"https://image.dngroup.com/global/nhst/binary/2878279b3fa1e70e25118c6806f41e5b?crop=1600%2C899%2Cx0%2Cy168%2Csafe&width=350&format=auto&quality=80","17.03","7.54","8.63","11.07","7.54","17.03","4.99","MISS, HIT, MISS","MISS, HIT, HIT","MISS, HIT, HIT","24821","24821","24821","200",""
"https://image.dngroup.com/global/nhst/binary/d9af3b79624fddee37489245ff8bc5f1?crop=1600%2C899%2Cx0%2Cy0%2Csafe&width=350&format=auto&quality=80","16.4","8.47","6.99","10.62","6.99","16.4","6.93","MISS, HIT, MISS","MISS, HIT, HIT","MISS, HIT, HIT","24821","24821","24821","200",""
"https://image.dngroup.com/global/nhst/binary/5977d64ac3d26bcbd382cc214443c66b?crop=1350%2C1350%2Cx0%2Cy48%2Csafe&width=500&format=auto&quality=80","16.92","7.21","7.46","10.53","7.21","16.92","13.53","MISS, HIT, MISS","MISS, HIT, HIT","MISS, HIT, HIT","24816","24816","24816","200",""
"https://image.dngroup.com/global/nhst/binary/6965b24055cfc72052a7b36cd49efc3d?crop=1600%2C899%2Cx0%2Cy0%2Csafe&width=500&format=auto&quality=80","16.68","9.96","6.83","11.16","6.83","16.68","11.2","MISS, HIT, MISS","MISS, HIT, HIT","MISS, HIT, HIT","24819","24819","24819","200",""
"https://image.dngroup.com/global/nhst/binary/bdf1090bc7d645d8e276214abbe80990?crop=1600%2C899%2Cx0%2Cy67%2Csafe&width=350&format=auto&quality=80","17.68","7.82","7.37","10.96","7.37","17.68","5.48","MISS, HIT, MISS","MISS, HIT, HIT","MISS, HIT, HIT","25980","25980","25980","200",""
"https://image.dngroup.com/global/nhst/binary/21787d6f39b2d992f774ab2083f66f5f?crop=1600%2C899%2Cx0%2Cy54%2Csafe&width=350&format=auto&quality=80","17.16","7.61","7.02","10.6","7.02","17.16","4.98","MISS, HIT, MISS","MISS, HIT, HIT","MISS, HIT, HIT","24818","24818","24818","200",""
"https://image.dngroup.com/global/nhst/binary/76a7f4496c78993b936436b326ab0ba4?crop=1461%2C821%2Cx48%2Cy0%2Csafe&width=350&format=auto&quality=80","16.81","8","6.88","10.56","6.88","16.81","6.37","MISS, HIT, MISS","MISS, HIT, HIT","MISS, HIT, HIT","7868","7868","7868","200",""
"https://image.dngroup.com/global/nhst/binary/0f68b9c13cf3dddbd00d1b78aa0781df?crop=1600%2C899%2Cx0%2Cy0%2Csafe&width=450&format=auto&quality=80","349.68","8.95","8.2","122.28","8.2","349.68","16.44","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","7869","7869","7869","200",""
"https://image.dngroup.com/global/nhst/binary/5e2bc06f2822e461234f6c75c153317c?crop=1600%2C900%2Cx0%2Cy43%2Csafe&width=350&format=auto&quality=80","19.21","9.23","6.79","11.74","6.79","19.21","7.91","MISS, HIT, MISS","MISS, HIT, HIT","MISS, HIT, HIT","24805","24805","24805","200",""
"https://image.dngroup.com/global/nhst/binary/180e1d3a714121398a13a07a18ca5872?crop=1406%2C791%2Cx0%2Cy0%2Csafe&width=350&format=auto&quality=80","17.11","8.15","6.4","10.55","6.4","17.11","7.5","MISS, HIT, MISS","MISS, HIT, HIT","MISS, HIT, HIT","24806","24806","24806","200",""
"https://image.dngroup.com/global/nhst/binary/3f5da523bbea1ec97157b1c226388773?crop=1360%2C765%2Cx0%2Cy0%2Csafe&width=350&format=auto&quality=80","17.37","12.02","7.36","12.25","7.36","17.37","6.21","MISS, HIT, MISS","MISS, HIT, HIT","MISS, HIT, HIT","24806","24806","24806","200",""
"https://image.dngroup.com/global/nhst/binary/838b7bac51b297f5d970da76e75e6833?crop=2400%2C1350%2Cx0%2Cy0%2Csafe&width=350&format=auto&quality=80","18.18","10.27","8.53","12.33","8.53","18.18","6.23","MISS, HIT, MISS","MISS, HIT, HIT","MISS, HIT, HIT","24806","24806","24806","200",""
"https://image.dngroup.com/global/nhst/binary/5d29d703ff4fcfd2d8eb39543959353a?crop=1386%2C1066%2Cx7%2Cy0%2Csafe&width=650&format=auto&quality=80","262.83","8.61","8.17","93.2","8.17","262.83","18.42","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","24673","24673","24673","200",""
"https://image.dngroup.com/global/nhst/binary/14f3b113eee3349a13aed951dd56e379?crop=1600%2C900%2Cx0%2Cy90%2Csafe&width=350&format=auto&quality=80","118.04","11.07","7.23","45.45","7.23","118.04","6.95","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","24674","24674","24674","200",""
"https://image.dngroup.com/global/nhst/binary/28d66d80817a91d7f87c6cd85ac3c824?crop=1600%2C900%2Cx0%2Cy83%2Csafe&width=350&format=auto&quality=80","20.72","10.51","9.89","13.71","9.89","20.72","14.79","MISS, HIT, MISS","MISS, HIT, HIT","MISS, HIT, HIT","25846","25846","25846","200",""
"https://image.dngroup.com/global/nhst/binary/bf01ee1617b9dcc8540539ad163a495a?crop=800%2C450%2Cx0%2Cy51%2Csafe&width=350&format=auto&quality=80","17.44","8.61","9.1","11.72","8.61","17.44","8.64","MISS, HIT, MISS","MISS, HIT, HIT","MISS, HIT, HIT","22321","22321","22321","200",""
"https://image.dngroup.com/global/nhst/binary/505e57fe48bcbae2e6ffe730dc6880e2?crop=1086%2C611%2Cx0%2Cy239%2Csafe&width=350&format=auto&quality=80","64.9","8.55","7.32","26.92","7.32","64.9","4.56","MISS, HIT, MISS","MISS, HIT, HIT","MISS, HIT, HIT","18553","18553","18553","200",""
"https://image.dngroup.com/global/nhst/binary/92455d109dd61bd1d70e60dc2f4d47c0?crop=1600%2C900%2Cx0%2Cy0%2Csafe&width=300&format=auto&quality=80","24.04","8.21","7.33","13.19","7.33","24.04","5.73","MISS, HIT, MISS","MISS, HIT, HIT","MISS, HIT, HIT","24808","24808","24808","200",""
"https://image.dngroup.com/global/nhst/binary/c2cf3e7409c40c71dc75c1eae482f060?crop=2400%2C1350%2Cx0%2Cy0%2Csafe&width=300&format=auto&quality=80","17.42","8.15","7.75","11.11","7.75","17.42","3.08","MISS, HIT, MISS","MISS, HIT, HIT","MISS, HIT, HIT","24809","24809","24809","200",""
"https://image.dngroup.com/global/nhst/binary/1617a234f908638137c8faf27e140820?crop=2400%2C1350%2Cx0%2Cy0%2Csafe&width=300&format=auto&quality=80","17.5","10.28","9.84","12.54","9.84","17.5","2.36","MISS, HIT, MISS","MISS, HIT, HIT","MISS, HIT, HIT","24809","24809","24809","200",""
"https://image.dngroup.com/global/nhst/binary/3ac0af8b1d69b6a6e59156119a2dcaeb?crop=2307%2C1298%2Cx1%2Cy101%2Csafe&width=300&format=auto&quality=80","18.39","8.34","8.04","11.59","8.04","18.39","8.26","MISS, HIT, MISS","MISS, HIT, HIT","MISS, HIT, HIT","24810","24810","24810","200",""
"https://image.dngroup.com/global/nhst/binary/13a30bf968673b8c64eed49a355d3008?crop=1600%2C900%2Cx0%2Cy0%2Csafe&width=450&format=auto&quality=80","134.5","16.36","7.67","52.84","7.67","134.5","9.71","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","21832","21832","21832","200",""
"https://image.dngroup.com/global/nhst/binary/eba609a9773d863825860d1278469e3a?crop=1201%2C676%2Cx0%2Cy25%2Csafe&width=450&format=auto&quality=80","17.66","8.32","7.68","11.22","7.68","17.66","10.2","MISS, HIT, MISS","MISS, HIT, HIT","MISS, HIT, HIT","24810","24810","24810","200",""
"https://image.dngroup.com/global/nhst/binary/2254ce709b40a2983ecb680ecc62ee19?crop=1421%2C799%2Cx1%2Cy73%2Csafe&width=450&format=auto&quality=80","257.97","8.4","7.56","91.31","7.56","257.97","7.63","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","24775","24775","24775","200",""
"https://image.dngroup.com/global/nhst/binary/702dda0e9f65e4b25f6754db95d25bc4?crop=1600%2C1066%2Cx0%2Cy0%2Csafe&width=650&format=auto&quality=80","191.87","8.89","6.64","69.13","6.64","191.87","19.51","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","24775","24775","24775","200",""
"https://image.dngroup.com/global/nhst/binary/1bf6c3483c695d97cf3c9ba73fef4b5e?crop=1600%2C900%2Cx0%2Cy27%2Csafe&width=350&format=auto&quality=80","136.28","8.16","11.37","51.94","8.16","136.28","4.84","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","24776","24776","24776","200",""
"https://image.dngroup.com/global/nhst/binary/3c763c6dfe3b792e334b4811e4f60857?crop=1600%2C900%2Cx0%2Cy0%2Csafe&width=350&format=auto&quality=80","396.74","7.67","11.78","138.73","7.67","396.74","8.35","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","24813","24813","24813","200",""
"https://image.dngroup.com/global/nhst/binary/0aec000de7b09186fcc55001749229fa?crop=1600%2C900%2Cx0%2Cy0%2Csafe&width=350&format=auto&quality=80","206.74","8.9","7.31","74.32","7.31","206.74","4.5","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","24777","24777","24777","200",""
"https://image.dngroup.com/global/nhst/binary/2ce24b8b5908755ca41ee5ac132b6a7d?crop=1600%2C900%2Cx0%2Cy31%2Csafe&width=350&format=auto&quality=80","118.41","8.87","8.05","45.11","8.05","118.41","14.9","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","24777","24777","24777","200",""
"https://image.dngroup.com/global/nhst/binary/4bbac651088e6ebf5526426791094e28?crop=1600%2C900%2Cx0%2Cy0%2Csafe&width=300&format=auto&quality=80","117.08","8.84","6.21","44.04","6.21","117.08","6.92","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","24778","24778","24778","200",""
"https://image.dngroup.com/global/nhst/binary/b029550a090f00e6b0f937c81825ebed?crop=2240%2C1260%2Cx80%2Cy0%2Csafe&width=300&format=auto&quality=80","328.03","9.33","7.9","115.09","7.9","328.03","8.68","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","24779","24779","24779","200",""
"https://image.dngroup.com/global/nhst/binary/e33e51c5407286f2a7b13cb7d934fe45?crop=1200%2C675%2Cx0%2Cy0%2Csafe&width=300&format=auto&quality=80","109.81","8.07","6.77","41.55","6.77","109.81","7.12","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","24779","24779","24779","200",""
"https://image.dngroup.com/global/nhst/binary/9a67452ba6f772432487d298ef2fedac?crop=1300%2C731%2Cx0%2Cy21%2Csafe&width=300&format=auto&quality=80","158.56","7.95","8.8","58.44","7.95","158.56","7.98","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","24780","24780","24780","200",""
"https://image.dngroup.com/global/nhst/binary/9c6a746097f81ae4a67b276f49cf2ba5?crop=1600%2C900%2Cx0%2Cy39%2Csafe&width=450&format=auto&quality=80","314.55","8.67","7.01","110.08","7.01","314.55","10.72","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","24816","24816","24816","200",""
"https://image.dngroup.com/global/nhst/binary/fc0fee23fc52647bc705e3c6cfd8cd81?crop=800%2C450%2Cx0%2Cy71%2Csafe&width=450&format=auto&quality=80","17.23","8.73","8.31","11.42","8.31","17.23","6.67","MISS, HIT, MISS","MISS, HIT, HIT","MISS, HIT, HIT","24780","24780","24780","200",""
"https://image.dngroup.com/global/nhst/binary/aebb8ea3e657f59ec329b12946cd30af?crop=1600%2C900%2Cx0%2Cy36%2Csafe&width=450&format=auto&quality=80","191.88","8.52","8","69.47","8","191.88","7.34","MISS, MISS, MISS","MISS, MISS, HIT","MISS, MISS, HIT","24780","24780","24780","200",""
